.91284 1 -0.996195
4.57082 1 -1.93589
3.86372 1 -2.64299
2.87891 1 -2.81664
2.05976 1 -2.24307
2.05976 1 -1.24307
2.96607 1 -0.820448
3.60885 1 -1.58649
2.90175 1 -2.2936
2.25896 1 -1.52755
3.16527 1 -1.10494
3.16527 1 -2.10494
2.34611 1 -1.53136
3.33092 1 -1.35771
2.62382 1 -2.06482
2.96584 1 -1.12513
2.87868 1 -2.12132
2.87868 1 -1.12132
2.79152 1 -2.11752
3.13354 1 -1.17782
2.42644 1 -1.88493
3.41125 1 -1.71128
2.59209 1 -1.1377
2.59209 1 -2.1377
3.4984 1 -1.71509
2.85561 1 -0.949042
2.14851 1 -1.65615
2.79129 1 -2.42219
3.6976 1 -1.99957
3.6976 1 -0.999575
2.87845 1 -0.425998
1.89364 1 -0.599647
1.18654 1 -1.30675
0.844515 1 -2.24645
0.75736 1 -3.24264
0.75736 1 -4.24264
0.670204 1 -5.23884
0.328184 1 -6.17853
-0.378923 1 -6.88564
-1.36373 1 -7.05928
-2.18288 1 -6.48571
-2.18288 1 -5.48571
-1.27657 1 -5.06309
-0.633787 1 -5.82913

